comment_id,video_id,author,text,like_count,published_at,reply_count,is_reply,cleaned_text
UgyOriY6CWIDwrUqYpl4AaABAg.ASbl4UPMajcAScYOXt2x7N,j2qUj7a0ja8,@RaushanKumar-ct4xu,Andhbhakto ko English samajh nhi aati bro😂,0,2026-01-31T01:37:03Z,0,True,andhbhakto ko english samajh nhi aati bro
UgwqA3g9TXQG9yTBdBZ4AaABAg,j2qUj7a0ja8,@rambhajn24,Kya baat h bhai Indian youtubers me dam h❤❤ Jay hind,4,2026-01-31T04:16:00Z,0,False,kya baat h bhai indian youtubers me dam h jay hind
UgyAuDXV52JXN8L_K3Z4AaABAg,j2qUj7a0ja8,@rajnikantrajbhar1,Love You Dhruv Rathe भैया ऐसे ही देश का नाम रोशनकरते रहें,2,2026-02-02T04:48:40Z,0,False,love you dhruv rathe
UgwXUxnnD6V3ZM1cr_h4AaABAg,j2qUj7a0ja8,@personalities-11C,5:22 that yawn 🥱...😂😂😂,36,2026-01-31T07:48:58Z,2,False,that yawn ...
UgwXUxnnD6V3ZM1cr_h4AaABAg.ASdCx_PKuNPASeBmgJG_Hz,j2qUj7a0ja8,@Asim-xz2hp,Police agyi re baba,1,2026-01-31T16:57:59Z,0,True,police agyi re baba
Ugy5sXcPllQNeAfLrTd4AaABAg,j2qUj7a0ja8,@SoundGamerz12345,Dhruv Rathee ai,8,2026-01-31T08:46:21Z,0,False,dhruv rathee ai
Ugzue4fPKhUEPZUTSfd4AaABAg,j2qUj7a0ja8,@ConvosWithJames03,9:19 - something  will always go wrong no matter how prepared you are... ❤❤❤,4,2026-02-01T10:04:54Z,0,False,something will always go wrong no matter how prepared you are...
UgxehqOkMD6Al2QZBe14AaABAg,j2qUj7a0ja8,@trueknowjourney,Big fan,14,2026-01-30T15:29:25Z,0,False,big fan
Ugzx_b_tJpnnI-xMLSh4AaABAg,j2qUj7a0ja8,@user-vc7kn6lv8b,4:41 Abe idhar bhi Tod diya inne,32,2026-01-30T19:07:23Z,1,False,abe idhar bhi tod diya inne
Ugzx_b_tJpnnI-xMLSh4AaABAg.ASbqndks3I9ASbvFSMKbHV,j2qUj7a0ja8,@AnujSharma-t4x,In the beginning I was thinking Audio track is automatically sets to English.😶,1,2026-01-30T19:46:17Z,0,True,in the beginning i was thinking audio track is automatically sets to english.
UgyT0qsK2euKC3OZ8hB4AaABAg,j2qUj7a0ja8,@NEERAJKUMAR.MEERUT,🇮🇳GREAT WORK DHRUV RATHEE SIR🇮🇳,2,2026-02-01T08:48:50Z,0,False,great work dhruv rathee sir
Ugw3cK5NNsev33TA5tp4AaABAg,j2qUj7a0ja8,@TinyToons72-Ai,Good Sir ❤,11,2026-01-30T15:21:27Z,0,False,good sir
UgzStJYvFxr8SRbCYGR4AaABAg,j2qUj7a0ja8,@himanshugamingyt8875,superrrrr bro pahli baar dhruv rathi ka english sunne mila 😉,1,2026-01-31T14:49:20Z,0,False,superrrrr bro pahli baar dhruv rathi ka english sunne mila
UgzvXWr-14kKQnGlOkF4AaABAg,j2qUj7a0ja8,@Archbytes-,"Dhruv, you are my all time Favorite. 
I belive one day we'll definitely meet.",93,2026-01-31T08:25:45Z,1,False,"dhruv, you are my all time favorite. i belive one day well definitely meet."
UgzvXWr-14kKQnGlOkF4AaABAg.ASdH9wTtCZ4ASsF6kkAhAR,j2qUj7a0ja8,@hazrat_dhurv_rathee_waslam,Dhurv ❌ brain washer ✅,0,2026-02-06T03:56:26Z,0,True,dhurv brain washer
Ugy9OfW0dyKawcHAo3V4AaABAg,j2qUj7a0ja8,@RojaddinAnsari-n3z,Video ghanta samajh me kuchh nahi aa raha hai lekin fir bhi video pura watch karunga kyunki video dhruv rathee ki hai 💪💀🙃,3,2026-02-02T15:08:50Z,0,False,video ghanta samajh me kuchh nahi aa raha hai lekin fir bhi video pura watch karunga kyunki video dhruv rathee ki hai
Ugxiq6qIprTTiI9pT1B4AaABAg,j2qUj7a0ja8,@akashshnu,"Who else thinks, his earnings will impact Indian politics 😂",5,2026-01-31T03:50:50Z,0,False,"who else thinks, his earnings will impact indian politics"
UgwvJ2f-7ER9FtVPJoZ4AaABAg,j2qUj7a0ja8,@Trishu-LovesYou,7.30 bhai ne to chatgpt company walon ko v hila dia😂😂,2,2026-02-04T08:01:59Z,0,False,. bhai ne to chatgpt company walon ko v hila dia
Ugz4oN5Xoup8k4FxsNR4AaABAg,j2qUj7a0ja8,@AmanSingh_10p,Or kuch anpadh log dhruv rathee ka expose karte hai 😂,21,2026-01-31T02:53:49Z,2,False,or kuch anpadh log dhruv rathee ka expose karte hai
Ugz4oN5Xoup8k4FxsNR4AaABAg.AScgAt5Q8l4ASfePCVyxmW,j2qUj7a0ja8,@mayankpatle6447,"Expose ho jata , fr dar ke mare unko block kr deta h ye 😂😂",0,2026-02-01T06:36:01Z,0,True,"expose ho jata , fr dar ke mare unko block kr deta h ye"
Ugz4oN5Xoup8k4FxsNR4AaABAg.AScgAt5Q8l4ASfsD0P6XBW,j2qUj7a0ja8,@debopriyochakrabortty293,​​@mayankpatle6447 abusive trolls deserve to get blocked,4,2026-02-01T08:36:42Z,0,True,abusive trolls deserve to get blocked
Ugxe-PqPQ1dd_SrqR6N4AaABAg,j2qUj7a0ja8,@AnasAhmad-r4b,beautiful speech sirr very inspirational,8,2026-01-30T16:58:23Z,0,False,beautiful speech sirr very inspirational
Ugwe0LlTzin8LCcFxTN4AaABAg,j2qUj7a0ja8,@VijayKunapareddy-g3u,English me pahle bar Kisi ki puri video dekhi hai samjh nahi aaya kya kya bola hai per Maja AA gaya 😂,6,2026-01-31T15:28:31Z,1,False,english me pahle bar kisi ki puri video dekhi hai samjh nahi aaya kya kya bola hai per maja aa gaya
Ugwe0LlTzin8LCcFxTN4AaABAg.ASe1YOgHpckASiya8LlmZR,j2qUj7a0ja8,@Economics365,Samah nahi aya?,0,2026-02-02T13:30:08Z,0,True,samah nahi aya?
UgxOp1Ge1-x3TOd6rt94AaABAg,j2qUj7a0ja8,@Shivamroy05k,Dhruv expose all godi youtuber as well as godi media in just  3 video 😂😂,289,2026-01-30T15:26:11Z,12,False,dhruv expose all godi youtuber as well as godi media in just video
UgxOp1Ge1-x3TOd6rt94AaABAg.ASbSUTkHKRFASbtr1CXLg4,j2qUj7a0ja8,@IqbalAhmed-e1e,dhruv rathe is also,4,2026-01-30T19:34:04Z,0,True,dhruv rathe is also
UgxOp1Ge1-x3TOd6rt94AaABAg.ASbSUTkHKRFASbwHwa5GJ7,j2qUj7a0ja8,@DecodeABD,but now most youtuber exposing dhruv with facts 😁,45,2026-01-30T19:55:21Z,0,True,but now most youtuber exposing dhruv with facts
UgxOp1Ge1-x3TOd6rt94AaABAg.ASbSUTkHKRFAScDcxhwLAK,j2qUj7a0ja8,@WIN_1306,@DecodeABD correct,15,2026-01-30T22:35:39Z,0,True,correct
UgxOp1Ge1-x3TOd6rt94AaABAg.ASbSUTkHKRFASchJy0TKlA,j2qUj7a0ja8,@AangBasu,if you cannot provide the service don't take money from the customers,5,2026-01-31T03:03:48Z,0,True,if you cannot provide the service dont take money from the customers
UgxOp1Ge1-x3TOd6rt94AaABAg.ASbSUTkHKRFAScihzsRlQt,j2qUj7a0ja8,@Shivamroy05k,​@AangBasu mai bhi ai fiesta ka subscription liya huu mai aaram se video banata huu !,1,2026-01-31T03:15:57Z,0,True,mai bhi ai fiesta ka subscription liya huu mai aaram se video banata huu !
Ugz9dXAZUxv4Chd_Qb54AaABAg,j2qUj7a0ja8,@starshivam9551,Love you Am indian Jai bheem 💙💙💙💙💙👍👍👍💐💐💐,0,2026-02-03T03:01:32Z,0,False,love you am indian jai bheem
