comment_id,video_id,author,text,like_count,published_at,reply_count,is_reply
Ugx7Vi2JcLt7nw11LLJ4AaABAg,j2qUj7a0ja8,@Anandpriy-b9f,Dhruv fans attendance ❤,124,2026-01-30T15:50:57Z,0,False
UgxvFuP9nZganDCnOHp4AaABAg,j2qUj7a0ja8,@NavitaChoudhary-y1t,"0:07 😂
0:10 नमस्कार दोस्तों is Also permanent 😂❤",6,2026-02-03T09:02:57Z,0,False
UgyfhVOb3ypFqP_LkBd4AaABAg,j2qUj7a0ja8,@TheRohitVermaShowClips,Bro ❤ unexpected introduction 😄,53,2026-01-31T08:33:15Z,0,False
Ugz0oLPiNI_TXOq19jx4AaABAg,j2qUj7a0ja8,@Nursing_aspirant1997,मैं तो इंग्लिश में बात करते हुए पहली बार सुन रहा हूं ध्रुव भैया को😂😂,7,2026-01-31T16:22:12Z,0,False
UgyXQSy4T87lwL2QGhR4AaABAg,j2qUj7a0ja8,@ShyamSravi,more than Rs 22cr in 4 month 🤯🤯,95,2026-01-30T18:26:04Z,0,False
UgxOlSKiKSdxp_pPOd94AaABAg,j2qUj7a0ja8,@irfanwani0034,Everything is temporary but Dhruva rathee t shirt is parmenent in every of his vedio 😂😂,0,2026-02-12T10:25:35Z,0,False
Ugzbp0RL15IHlPXSLxR4AaABAg,j2qUj7a0ja8,@movies44Vk,Dhruv rathi Fans hajiri lagao😅😅,239,2026-01-31T02:19:58Z,2,False
Ugzbp0RL15IHlPXSLxR4AaABAg.ASccItH4nTlASlU92PyCWN,j2qUj7a0ja8,@AkashVlogs171,We are already here 😅,0,2026-02-03T12:53:08Z,0,True
Ugzbp0RL15IHlPXSLxR4AaABAg.ASccItH4nTlASsEtI1LRav,j2qUj7a0ja8,@hazrat_dhurv_rathee_waslam,🖐️,0,2026-02-06T03:54:28Z,0,True
Ugzxh5deL571hjSrAb54AaABAg,j2qUj7a0ja8,@godfreypinto8448,"Dhruv,  this is the first time I heard you speak in English. Yes I am interested and going to join soon...",6,2026-02-01T08:54:26Z,0,False
UgwNl5TswBGLF1zMkBB4AaABAg,j2qUj7a0ja8,@user-vc7kn6lv8b,Ai Fiesta day by day 📈📈📈📈📈,981,2026-01-30T19:12:15Z,21,False
UgwNl5TswBGLF1zMkBB4AaABAg.ASbrMEQYnyKAScunGEzBeC,j2qUj7a0ja8,@vaibhav4323,😂,3,2026-01-31T05:01:32Z,0,True
UgwNl5TswBGLF1zMkBB4AaABAg.ASbrMEQYnyKAScuyIblEDd,j2qUj7a0ja8,@BinuBuragohain-g1x,​@vaibhav4323😡,0,2026-01-31T05:03:02Z,0,True
